SMILES,CANON_SMILES,MolecularFormula,MolecularWeight,Exp_logp
C1=NC=NC=N1,c1ncncn1,C3H3N3,81.078,0
C(C(CCl)F)F,FCC(F)CCl,C3H5ClF2,114.522,1.6
C[C@H](CSC)O,CSC[C@@H](C)O,C4H10OS,106.19,0.6
CCOSS,CCOSS,C2H6OS2,110.203,1.4
C[CH]P[CH]C,C[CH]P[CH]C,C4H9P,88.09,0.7
CCCCPS,CCCCPS,C4H11PS,122.173,1.7
CCN(P)P,CCN(P)P,C2H9NP2,109.049,0.4
CC[C-](C)C(C)C,CC[C-](C)C(C)C,C7H15-,99.197,3.4
C(COPO)O,OCCOPO,C2H7O3P,110.049,-1.2
C(COO)COO,OOCCCOO,C3H8O4,108.093,-0.7
CC(C)[CH]CO,CC(C)[CH]CO,C5H11O,87.142,1.2
C1CN[CH]OC1,[CH]1NCCCO1,C4H8NO,86.114,-0.1
CC(C)C(C)C[CH2-],[CH2-]CC(C)C(C)C,C7H15-,99.197,3.4
C(CSN)N,NCCSN,C2H8N2S,92.167,-1.2
CCCC(CCl)Cl,CCCC(Cl)CCl,C5H10Cl2,141.041,2.7
CSSCF,CSSCF,C2H5FS2,112.194,1.4
CCC(C)I,CCC(C)I,C4H9I,184.02,2.8
CCCCC[CH-]CC,CC[CH-]CCCCC,C8H17-,113.224,3.9
C1CC1Br,BrC1CC1,C3H5Br,120.977,1.5
CC(C)([CH])[CH][CH],[CH][CH]C([CH])(C)C,C6H9,81.138,3
[3H]COSI,[3H]COSI,CH3IOS,192.0130493,1.4
CCC[C@@H](C)PF,CCC[C@@H](C)PF,C5H12FP,122.123,2.1
[2H]ON(CC)CC,[2H]ON(CC)CC,C4H11NO,90.14410178,0.5
CSCC[OH+]CO,CSCC[OH+]CO,C4H11O2S+,123.197,0.1
CCOPCCN,CCOPCCN,C4H12NOP,121.12,-0.6
CCNNCl,CCNNCl,C2H7ClN2,94.545,0.2
CPN=PC,CP=NPC,C2H7NP2,107.033,0
CCC(NC)OC,CCC(NC)OC,C5H13NO,103.165,0.7
C1CCOOCC1,C1CCOOCC1,C5H10O2,102.133,1
C(N)SC(N)N,NCSC(N)N,C2H9N3S,107.182,-1.6
CC(C)CCC[NH3+],CC(C)CCC[NH3+],C6H16N+,102.201,1.3
[CH2]CNCCN,[CH2]CNCCN,C4H11N2,87.146,-0.8
[CH](C(Cl)(Cl)Cl)Cl,Cl[CH]C(Cl)(Cl)Cl,C2HCl4,166.842,2.7
CCSC(C)[CH2],[CH2]C(C)SCC,C5H11S,103.21,2
CC(NO)SC,CSC(C)NO,C3H9NOS,107.178,0.5
C(/C=C/N)I,N/C=C/CI,C3H6IN,182.992,1
C1CNC[N]C1,C1C[N]CNC1,C4H9N2,85.13,-0.4
C[C@@H]([C@@H](C)Br)F,C[C@H](F)[C@@H](C)Br,C4H8BrF,155.01,2.2
C(CN=P)CO,OCCCN=P,C3H8NOP,105.077,-0.3
CCSCN,CCSCN,C3H9NS,91.179,0.4
CC(C)CCC[PH3+],CC(C)CCC[PH3+],C6H16P+,119.168,1.9
C1NCOCO1,C1NCOCO1,C3H7NO2,89.094,-0.4
CCCCCCOO,CCCCCCOO,C6H14O2,118.176,1.9
C(S)(SP)I,PSC(S)I,CH4IPS2,238.055,1.5
C1=[C]N=NN=C1,[c]1ccnnn1,C3H2N3,80.07,-0.7
CC(N)NCCN,CC(N)NCCN,C4H13N3,103.169,-1.6
C[C@@H](C(C)C)O,CC(C)[C@H](C)O,C5H12O,88.15,1.3
CCCCCCI,CCCCCCI,C6H13I,212.074,4.2
C=CPOCl,C=CPOCl,C2H4ClOP,110.48,1.2
C[C@H](C(C)P)P,CC(P)[C@@H](C)P,C4H12P2,122.088,0.4
C1(NN1)I,IC1NN1,CH3IN2,169.953,0.2
CC/C=C\CO,CC/C=C\CO,C5H10O,86.134,0.9
CCC(OC)Br,CCC(Br)OC,C4H9BrO,153.019,1.9
CCC(CC)[NH+][CH2-],[CH2-][NH+]C(CC)CC,C6H14N,100.185,1.7
C1NNCS1,C1NNCS1,C2H6N2S,90.151,0.2
CCCSC(C)P,CCCSC(C)P,C5H13PS,136.2,2
[2H]C([2H])(CCNCC)N,[2H]C([2H])(N)CCNCC,C5H14N2,104.1932036,-0.4
[2H]CCCCCl,[2H]CCCCCl,C4H9Cl,93.57510178,2.6
CCCC(CC)[CH-]C,C[CH-]C(CC)CCC,C8H17-,113.224,4.3
C=CCNBr,C=CCNBr,C3H6BrN,135.992,0.9
C(C(CCl)Br)O,OCC(Br)CCl,C3H6BrClO,173.437,1
CC(O)OCl,CC(O)OCl,C2H5ClO2,96.513,0.7
C1CCO[CH]C1,[CH]1CCCCO1,C5H9O,85.126,0.9
CI=O,CI=O,CH3IO,157.938,0.8
CCOCCNI,CCOCCNI,C4H10INO,215.034,0.4
C(N)OSI,NCOSI,CH4INOS,205.02,0.5
C[C@@H](COC)[NH3+],COC[C@H](C)[NH3+],C4H12NO+,90.146,-0.4
CC(SS)I,CC(I)SS,C2H5IS2,220.1,2.1
[3H]C1=C(C(=C(C(=C1[3H])[3H])[3H])[3H])[3H],[3H]c1c([3H])c([3H])c([3H])c([3H])c1[3H],C6H6,90.16229567,2.1
CC(C)(C)NCl,CC(C)(C)NCl,C4H10ClN,107.584,1.1
CCOCOOC,CCOCOOC,C4H10O3,106.121,0.4
CCP(Cl)Cl,CCP(Cl)Cl,C2H5Cl2P,130.942,1.9
[2H]C([2H])(C)CCCO,[2H]C([2H])(C)CCCO,C5H12O,90.16220356,1.6
CCSC[C@H](C)O,CCSC[C@H](C)O,C5H12OS,120.217,1
CCCCN(C)Cl,CCCCN(C)Cl,C5H12ClN,121.611,1.8
CNCCNCl,CNCCNCl,C3H9ClN2,108.572,-0.3
[2H]C1CCCCCCC1([2H])[2H],[2H]C1CCCCCCC1([2H])[2H],C8H16,115.2343053,4.5
CC(N)(N)S,CC(N)(N)S,C2H8N2S,92.167,-0.9
C[P+](O)(O)Br,C[P+](O)(O)Br,CH5BrO2P+,159.927,-0.1
COC([CH2])OC,[CH2]C(OC)OC,C4H9O2,89.114,0.5
C(C(CF)CF)N,NCC(CF)CF,C4H9F2N,109.119,0.2
CCP=NP,CCP=NP,C2H7NP2,107.033,0.3
CCC(CCF)N,CCC(N)CCF,C5H12FN,105.156,0.9
CCN(C)NI,CCN(C)NI,C3H9IN2,200.023,0.7
CCCSCCO,CCCSCCO,C5H12OS,120.217,1.1
CCCNCl,CCCNCl,C3H8ClN,93.557,1
[3H]N(C)CN(C)C,[3H]N(C)CN(C)C,C4H12N2,90.16204928,-0.1
C(COI)N,NCCOI,C2H6INO,186.98,0
C(CSCCO)O,OCCSCCO,C4H10O2S,122.189,-0.6
C(O)P(CO)CO,OCP(CO)CO,C3H9O3P,124.076,-1.8
CS[P+](=O)[O-],CS[P+](=O)[O-],CH3O2PS,110.074,-0.8
[CH2-]C[C+](C[CH2+])C[S-],[CH2+]C[C+](C[CH2-])C[S-],C6H10S,114.213,2.6
C(N=O)(Br)Br,O=NC(Br)Br,CHBr2NO,202.833,1.3
C([C@@H](CBr)F)Cl,F[C@@H](CCl)CBr,C3H5BrClF,175.428,2
C(=O)[C@@H](Cl)Br,O=C[C@@H](Cl)Br,C2H2BrClO,157.394,1.2
C=C[CH]CCl,C=C[CH]CCl,C4H6Cl,89.545,1.9
C(CCl)C(Br)Br,ClCCC(Br)Br,C3H5Br2Cl,236.334,2.9
C(CNCl)CF,FCCCNCl,C3H7ClFN,111.547,0.8
C(COOCl)OOCl,ClOOCCOOCl,C2H4Cl2O4,162.956,1.6
C[C](S)SC,CS[C](C)S,C3H7S2,107.223,1.7
COC[CH]OCCO,COC[CH]OCCO,C5H11O3,119.14,-0.9
C=CCONCl,C=CCONCl,C3H6ClNO,107.54,0.8
CSCNCSC,CSCNCSC,C4H11NS2,137.273,1.3
C1SC(S1)F,FC1SCS1,C2H3FS2,110.178,2
C(CCl)NCCI,ClCCNCCI,C4H9ClIN,233.48,1.5
C/C=C\CC[CH2],[CH2]CC/C=C\C,C6H11,83.154,2.6
CSCCCCCO,CSCCCCCO,C6H14OS,134.244,1.3
CC(CCBr)I,CC(I)CCBr,C4H8BrI,262.916,2.9
C(NNCI)I,ICNNCI,C2H6I2N2,311.892,1.1
C([C](F)F)O,OC[C](F)F,C2H3F2O,81.041,0.4
CCCCP=S,CCCCP=S,C4H9PS,120.157,2.2
C([C@H](N)O)Br,N[C@H](O)CBr,C2H6BrNO,139.98,-0.5
CCC[NH+](O)[O-],CCC[NH+]([O-])O,C3H9NO2,91.11,0.1
CN(C)C(Cl)I,CN(C)C(Cl)I,C3H7ClIN,219.453,1.8
COCCOI,COCCOI,C3H7IO2,201.991,0.6
CCCCCOI,CCCCCOI,C5H11IO,214.046,2.7
C(C(CI)F)F,FCC(F)CI,C3H5F2I,205.973,2.1
CCOCCNF,CCOCCNF,C4H10FNO,107.128,0.1
CCC(C)CNP,CCC(C)CNP,C5H14NP,119.148,1.4
CCSNN,CCSNN,C2H8N2S,92.167,-0.1
CC(C)[S]=O,CC(C)[S]=O,C3H7OS,91.155,1.2
C[I-]C,C[I-]C,C2H6I-,156.974,2.2
CC(CCF)CCF,CC(CCF)CCF,C6H12F2,122.158,2.4
CCCCC(C)P,CCCCC(C)P,C6H15P,118.16,2.1
CSCCCNO,CSCCCNO,C4H11NOS,121.205,0.3
C1=C=C=PO1,C1=C=POC=1,C3HOP,84.014,-0.7
CCCC(CCC)O,CCCC(O)CCC,C7H16O,116.204,2.2
[2H][13CH]([13C@@]([2H])(CO)O)O,[2H][13CH](O)[13C@]([2H])(O)CO,C3H8O3,96.09091324,-1.8
[2H]C1(NCCS1)[2H],[2H]C1([2H])NCCS1,C3H7NS,91.17520356,0.3
CCCOBr,CCCOBr,C3H7BrO,138.992,1.9
CP=IF,CP=IF,CH3FIP,191.911,1.1
CCCCCOCC,CCCCCOCC,C7H16O,116.204,2.6
C[I-]C#[11C-],C[I-]C#[11C-],C3H3I-2,164.9614336,1.8
[2H]C([2H])([2H])C([2H])([2H])C([2H])(CCC)O,[2H]C([2H])([2H])C([2H])([2H])C([2H])(O)CCC,C6H14O,108.2136107,1.7
C(CI)Br,BrCCI,C2H4BrI,234.862,2.1
CC(CN)CN,CC(CN)CN,C4H12N2,88.154,-0.9
CSP(F)F,CSP(F)F,CH3F2PS,116.072,1.5
CC(CCCI)P,CC(P)CCCI,C5H12IP,230.029,2.3
CN([11CH3])CCO,CN([11CH3])CCO,C4H11NO,88.1384336,-0.4
C[C@H](CNC)CO,CNC[C@@H](C)CO,C5H13NO,103.165,-0.1
COCCC(N)N,COCCC(N)N,C4H12N2O,104.153,-1.3
CCOPOCC,CCOPOCC,C4H11O2P,122.104,0.7
CNCBr,CNCBr,C2H6BrN,123.981,0.7
C1COPPC1,C1COPPC1,C3H8OP2,122.044,0
C(CCCl)COBr,ClCCCCOBr,C4H8BrClO,187.464,2.3
CCCCONO,CCCCONO,C4H11NO2,105.137,0.6
C(C(CBr)O)S,OC(CS)CBr,C3H7BrOS,171.059,0.7
C1CCO[NH2+]C1,C1CCO[NH2+]C1,C4H10NO+,88.13,0.3
[2H]C(CCC)CO,[2H]C(CO)CCC,C5H12O,89.15610178,1.6
C[C@H](CCN)Br,C[C@@H](Br)CCN,C4H10BrN,152.035,0.8
CCCPP,CCCPP,C3H10P2,108.061,0.7
CC(C)CCPC,CPCCC(C)C,C6H15P,118.16,1.6
C(OC(Cl)Cl)Cl,ClCOC(Cl)Cl,C2H3Cl3O,149.404,2.2
C[IH+],C[IH+],CH4I+,142.947,1.5
[2H]C1C(C(C(C(C1([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H],[2H]C1C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C1([2H])[2H],C6H12,95.22911956,3.4
CCCOSS,CCCOSS,C3H8OS2,124.23,1.9
CC1CCC[CH]1,CC1[CH]CCC1,C6H11,83.154,3.4
C[C@@H](COC)NC,CN[C@@H](C)COC,C5H13NO,103.165,0.1
C(=C/I)\Br,Br/C=C/I,C2H2BrI,232.846,2.1
CCCCCC,CCCCCC,C6H14,86.178,3.9
CNSCOC,CNSCOC,C3H9NOS,107.178,0.2
C(CN)CNI,NCCCNI,C3H9IN2,200.023,-0.4
C[C@@H]([C@H](C)N)N,C[C@H](N)[C@H](C)N,C4H12N2,88.154,-0.8
C[C+](CO)OC,CO[C+](C)CO,C4H9O2+,89.114,-0.2
CNCCNP,CNCCNP,C3H11N2P,106.109,-0.7
CC(CO)P,CC(P)CO,C3H9OP,92.078,-0.3
COP(CCl)CCl,COP(CCl)CCl,C3H7Cl2OP,160.968,1.4
CCI(Cl)Cl,CCI(Cl)Cl,C2H5Cl2I,226.872,3.5
[2H]C(Cl)Br,[2H]C(Cl)Br,CH2BrCl,130.3901018,1.7
CSCO[O],CSCO[O],C2H5O2S,93.127,0.3
C[C@@H](CCBr)Br,C[C@H](Br)CCBr,C4H8Br2,215.916,2.5
CNCCS,CNCCS,C3H9NS,91.179,0.1
C1NCSCS1,C1NCSCS1,C3H7NS2,121.23,1.2
C(C=O)SF,O=CCSF,C2H3FOS,94.11,0.5
COCCC=S,COCCC=S,C4H8OS,104.174,0.1
CC[CH]CI,CC[CH]CI,C4H8I,183.012,3.1
CC(C(C)Br)O,CC(O)C(C)Br,C4H9BrO,153.019,1.2
CCC(P)I,CCC(P)I,C3H8IP,201.975,1.6
CC(CI)N,CC(N)CI,C3H8IN,185.008,0.8
CNC(CO)CO,CNC(CO)CO,C4H11NO2,105.137,-1.5
C[C@H](COC)N,COC[C@@H](C)N,C4H11NO,89.138,-0.4
CCOC([CH])OCC,[CH]C(OCC)OCC,C6H12O2,116.16,0.8
[2H]N1CCCCC1,[2H]N1CCCCC1,C5H11N,86.15610178,0.8
[CH2]C(CCO)O,[CH2]C(O)CCO,C4H9O2,89.114,-0.4
C(OC(Cl)Cl)S,SCOC(Cl)Cl,C2H4Cl2OS,147.026,1.9
C=CP(F)F,C=CP(F)F,C2H3F2P,96.016,1.5
C(COS)OS,SOCCOS,C2H6O2S2,126.202,0.9
CC[P+](O)(O)O,CC[P+](O)(O)O,C2H8O3P+,111.057,-1.2
[2H]COCCC(C)O,[2H]COCCC(C)O,C5H12O2,105.1551018,0.2
CCP(CC)CCl,CCP(CC)CCl,C5H12ClP,138.578,1.4
C[C@H](CCI)I,C[C@@H](I)CCI,C4H8I2,309.916,3.6
C(CS)NCI,SCCNCI,C3H8INS,217.075,0.8
CCCC(C)CCl,CCCC(C)CCl,C6H13Cl,120.623,3
CCC(Cl)I,CCC(Cl)I,C3H6ClI,204.438,2.5
[CH2+]CCCCCC[O-],[CH2+]CCCCCC[O-],C7H14O,114.188,4
CCC(CC)CCF,CCC(CC)CCF,C7H15F,118.195,3.3
[3H]SCCBr,[3H]SCCBr,C2H5BrS,143.0410493,1.3
[2H][P-]CI,[2H][P-]CI,CH3IP-,173.9191018,0.7
CO/N=C/Cl,CO/N=C/Cl,C2H4ClNO,93.513,1.4
[CH]C/C=C/Cl,[CH]C/C=C/Cl,C4H5Cl,88.537,2.1
[2H]C1C(C(C(C(N1[2H])([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H],[2H]C1N([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C1([2H])[2H],C5H11N,95.21101778,0.8
CCNCNCC,CCNCNCC,C5H14N2,102.181,0.2
CCC(C)OPC,CCC(C)OPC,C5H13OP,120.132,1.3
[CH](C(F)(F)F)F,F[CH]C(F)(F)F,C2HF4,101.022,1.7
COOOS,COOOS,CH4O3S,96.107,0.7
[2H]C(Cl)Cl,[2H]C(Cl)Cl,CH2Cl2,85.93910178,1.5
COCCCCCCl,COCCCCCCl,C6H13ClO,136.622,1.7
[2H]CC([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])O,[2H]CC([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])O,C5H12O,97.204916,1.6
C(F)(F)(Cl)[37Cl],FC(F)(Cl)[37Cl],CCl2F2,122.4259026,2.3
CS(O)(O)Cl,CS(O)(O)Cl,CH5ClO2S,116.569,0.7
C(F)(S)I,FC(S)I,CH2FIS,191.996,1.8
CC(C)NCP,CC(C)NCP,C4H12NP,105.121,0.4
CC(C)P(O)[O-],CC(C)P([O-])O,C3H8O2P-,107.069,-0.3
CCC(CCN)Cl,CCC(Cl)CCN,C5H12ClN,121.611,1.2
CNNNNNN,CNNNNNN,CH10N6,106.133,-1.9
C(C(Cl)Cl)SCl,ClSCC(Cl)Cl,C2H3Cl3S,165.472,2.6
[2H]N(CCC)CCC,[2H]N(CCC)CCC,C6H15N,102.1991018,1.7
C[C@H](CS)NN,C[C@H](CS)NN,C3H10N2S,106.194,-0.2
C1C[N]COC1,C1C[N]COC1,C4H8NO,86.114,-0.1
C(CONN)ON,NNOCCON,C2H9N3O2,107.113,-1.8
C(C(CP)P)P,PCC(P)CP,C3H11P3,140.043,-0.7
CC1NCS1,CC1NCS1,C3H7NS,89.163,0.8
C(C(N)O)P,NC(O)CP,C2H8NOP,93.066,-1.6
CC/C=C/[I+]C,CC/C=C/[I+]C,C5H10I+,197.039,3
C([NH2+]F)(F)(F)F,F[NH2+]C(F)(F)F,CH2F4N+,104.026,1.1
C1CNCC[CH-]1,[CH-]1CCNCC1,C5H10N-,84.142,0.8
C[C@@H](CCCl)O,C[C@H](O)CCCl,C4H9ClO,108.568,0.9
CCSBr,CCSBr,C2H5BrS,141.033,1.8
[CH2-][NH2+]CCCN,[CH2-][NH2+]CCCN,C4H12N2,88.154,-0.8
CCCC(C)NI,CCCC(C)NI,C5H12IN,213.062,1.8
C[C@@H]([C@H](O)I)O,C[C@H](O)[C@H](O)I,C3H7IO2,201.991,0.1
CPCCCCS,CPCCCCS,C5H13PS,136.2,0.9
C(CCCI)CCI,ICCCCCCI,C6H12I2,337.97,4.6
COCCOC,COCCOC,C4H10O2,90.122,-0.2
CCCC[CH+]CCCC,CCCC[CH+]CCCC,C9H19+,127.251,4.5
CC(C(Cl)Cl)O,CC(O)C(Cl)Cl,C3H6Cl2O,128.986,1.3
C(C(Cl)(Cl)Cl)[S],[S]CC(Cl)(Cl)Cl,C2H2Cl3S,164.464,2.4
CC(CO)NO,CC(CO)NO,C3H9NO2,91.11,-0.9
C(CCl)[S]=O,O=[S]CCCl,C2H4ClOS,111.573,1.1
C([35Cl])([35Cl])([35Cl])[35Cl],[35Cl]C([35Cl])([35Cl])[35Cl],CCl4,151.8864107,2.8
[CH2]C=CBr,[CH2]C=CBr,C3H4Br,119.969,1.8
COOCCC[CH],[CH]CCCOOC,C5H10O2,102.133,1.4
C(C=CF)S,FC=CCS,C3H5FS,92.138,0.9
C(CN)CO[NH2+][O-],NCCCO[NH2+][O-],C3H10N2O2,106.125,-1.3
CP(CS)P[O-],CP(CS)P[O-],C2H7OP2S-,141.092,-0.4
C(CSCSS)O,OCCSCSS,C3H8OS3,156.297,1
CC[C@@H](CO)F,CC[C@H](F)CO,C4H9FO,92.113,0.8
CP1CCC1,CP1CCC1,C4H9P,88.09,0.1
C[P+](N)(O)O,C[P+](N)(O)O,CH7NO2P+,96.046,-1.8
CCCCCC=[CH],[CH]=CCCCCC,C7H13,97.181,4
CCOP(O)O,CCOP(O)O,C2H7O3P,110.049,-0.6
CCCCOCO,CCCCOCO,C5H12O2,104.149,1.1
CCCCC[CH-]C,C[CH-]CCCCC,C7H15-,99.197,4.4
CC[C@@H](CN)N,CC[C@H](N)CN,C4H12N2,88.154,-0.7
C([C](Cl)Cl)Cl,ClC[C](Cl)Cl,C2H2Cl3,132.397,1.9
CC(C)COS,CC(C)COS,C4H10OS,106.19,1.9
[CH2]CCCCCN,[CH2]CCCCCN,C6H14N,100.185,2.1
C=CI,C=CI,C2H3I,153.95,1.7
CCNCCF,CCNCCF,C4H10FN,91.129,0.5
CC(C)CCNI,CC(C)CCNI,C5H12IN,213.062,1.8
C(COI)OO,OOCCOI,C2H5IO3,203.963,0.3
C(CC[O])CCF,[O]CCCCCF,C5H10FO,105.132,1
[3H]C(C)CC(=C([3H])C)[3H],[3H]C(C)=C([3H])CC([3H])C,C6H12,90.18614783,2.6
CCCN(CC)I,CCCN(I)CC,C5H12IN,213.062,1.9
C1CSC1Cl,ClC1CCS1,C3H5ClS,108.593,1.8
CN(C)CCCF,CN(C)CCCF,C5H12FN,105.156,1
CC([CH])S[CH2],[CH]C(C)S[CH2],C4H7S,87.167,1.7
CCSC(C)OC,CCSC(C)OC,C5H12OS,120.217,1.6
[3H]C(C=O)I,[3H]C(I)C=O,C2H3IO,171.9570493,0.4
C1=CC=PP=C1,c1ccppc1,C4H4P2,114.024,-2.1
COP(OCl)OCl,COP(OCl)OCl,CH3Cl2O3P,164.912,1.6
[CH]([CH][CH]S)C=N,N=C[CH][CH][CH]S,C4H6NS,100.166,0.4
CSCCCSI,CSCCCSI,C4H9IS2,248.154,2.7
C(CF)C(F)Br,FCCC(F)Br,C3H5BrF2,158.973,2.2
CCSCCCF,CCSCCCF,C5H11FS,122.208,1.9
CCC(C)C[CH2+],[CH2+]CC(C)CC,C6H13+,85.17,3.2
C[NH+](C)COC,COC[NH+](C)C,C4H12NO+,90.146,0.2
C(/C=N\O)Cl,O/N=C\CCl,C2H4ClNO,93.513,0.6
C([C@@H](CBr)O)Cl,O[C@@H](CCl)CBr,C3H6BrClO,173.437,1
CNCN(C)N,CNCN(C)N,C3H11N3,89.142,-0.8
C[I+]CI,C[I+]CI,C2H5I2+,282.87,2.9
C(COP)O,OCCOP,C2H7O2P,94.05,-0.7
CSNPS,CSNPS,CH6NPS2,127.174,0.6
C(CSS)C(O)O,OC(O)CCSS,C3H8O2S2,140.229,0.1
CP(C)OCCl,CP(C)OCCl,C3H8ClOP,126.523,0.7
CNC(CCN)N,CNC(N)CCN,C4H13N3,103.169,-1.6
C[C@@H](O)Br,C[C@@H](O)Br,C2H5BrO,124.965,0.8
CCC[C@H](C)CN,CCC[C@H](C)CN,C6H15N,101.193,1.5
CCOCCCCF,CCOCCCCF,C6H13FO,120.167,1.8
CCCPC=C,C=CPCCC,C5H11P,102.117,1.3
CC(CCBr)SC,CSC(C)CCBr,C5H11BrS,183.114,2.4
CC[P+](C)(C)C,CC[P+](C)(C)C,C5H14P+,105.141,0.3
C1C[O+]CCN1,C1C[O+]CCN1,C4H9NO+,87.122,-0.9
CP(S)S,CP(S)S,CH5PS2,112.159,0.9
C(OCCl)Cl,ClCOCCl,C2H4Cl2O,114.959,1.5
C[I-]PCN,C[I-]PCN,C2H8INP-,203.971,0.4
CC(C)(C)NO,CC(C)(C)NO,C4H11NO,89.138,0.3
CC(CN)CCl,CC(CN)CCl,C4H10ClN,107.584,0.7
C(P(Cl)Cl)P(Cl)Cl,ClP(Cl)CP(Cl)Cl,CH2Cl4P2,217.787,2.9
CC(CCS)Cl,CC(Cl)CCS,C4H9ClS,124.636,1.9
C(P)SP,PCSP,CH6P2S,112.074,0.1
COOI=O,COO[I+][O-],CH3IO3,189.936,0.7
C(C(Br)Br)(Cl)Br,ClC(Br)C(Br)Br,C2H2Br3Cl,301.203,3.4
CCC(CC)[O],CCC([O])CC,C5H11O,87.142,1.2
[CH2-]N1N=CC=N1,[CH2-]n1nccn1,C3H4N3-,82.086,0.2
C(C(N)(N)N)N,NCC(N)(N)N,C2H10N4,90.13,-3.5
CC(C)CCCC[CH2],[CH2]CCCCC(C)C,C8H17,113.224,4.3
CC(C)SI,CC(C)SI,C3H7IS,202.06,2.5
CC[C@H](C)CCBr,CC[C@H](C)CCBr,C6H13Br,165.074,3.2
CCCOC(S)S,CCCOC(S)S,C4H10OS2,138.257,1.8
COSC=S,COSC=S,C2H4OS2,108.187,0.9
C1[CH]C1I,IC1[CH]C1,C3H4I,166.969,2.1
CN([CH2])C=S,[CH2]N(C)C=S,C3H6NS,88.155,0.3
CN=CNCl,CN=CNCl,C2H5ClN2,92.529,0.1
[CH-]1PC=[PH+]1,c1[pH][cH-][pH+]1,C2H4P2,90.002,-1.3
CC[CH]CCCN,CC[CH]CCCN,C6H14N,100.185,2.1
C1=[NH+]N=CP1,c1n[nH+]c[pH]1,C2H4N2P+,87.042,-0.4
CC[C@@H](CS)N,CC[C@H](N)CS,C4H11NS,105.206,0.5
CCC(CI)I,CCC(I)CI,C4H8I2,309.916,3.6
CCCC(C)[CH]C,C[CH]C(C)CCC,C7H15,99.197,3.7
C(CO)CSCI,OCCCSCI,C4H9IOS,232.086,1.3
CCC(C)POC,CCC(C)POC,C5H13OP,120.132,1.3
C(COCCF)O,OCCOCCF,C4H9FO2,108.112,-0.3
C1CN1I,IN1CC1,C2H4IN,168.965,0.4
CC(C)C[C]=O,CC(C)C[C]=O,C5H9O,85.126,1
CCC(CO)F,CCC(F)CO,C4H9FO,92.113,0.8
C([C@@H](CS)N)N,NC[C@H](N)CS,C3H10N2S,106.194,-1.3
CC(C)COCO,CC(C)COCO,C5H12O2,104.149,0.8
C1CS[CH]S1,[CH]1SCCS1,C3H5S2,105.207,1.4
CNCNCNC,CNCNCNC,C4H13N3,103.169,-0.9
[2H]C(P)(P)Cl,[2H]C(P)(P)Cl,CH5ClP2,115.4581018,0.4
C(F)(F)[S]=O,O=[S]C(F)F,CHF2OS,99.081,1.4
[CH2]CC(CO)O,[CH2]CC(O)CO,C4H9O2,89.114,-0.2
CC(N)NNNC,CNNNC(C)N,C3H12N4,104.157,-1.1
[CH]1NOSN1,[CH]1NOSN1,CH3N2OS,91.115,-0.1
CONCCF,CONCCF,C3H8FNO,93.101,0.2
COCC(O)O,COCC(O)O,C3H8O3,92.094,-1.1
[2H]C([2H])(CCl)O,[2H]C([2H])(O)CCl,C2H5ClO,82.52620356,-0.1
CCNCC(O)O,CCNCC(O)O,C4H11NO2,105.137,-1
CCC(CCl)N,CCC(N)CCl,C4H10ClN,107.584,0.8
C(CN=N)CI,N=NCCCI,C3H7IN2,198.007,2.3
[2H]C([2H])(CO)Cl,[2H]C([2H])(Cl)CO,C2H5ClO,82.52620356,-0.1
CCSSP,CCSSP,C2H7PS2,126.186,1.1
CC(C)[C@H](N)O,CC(C)[C@H](N)O,C4H11NO,89.138,0.1
CCCCC(I)I,CCCCC(I)I,C5H10I2,323.943,4.1
CC[C@@H](COC)O,CC[C@H](O)COC,C5H12O2,104.149,0.4
C1CS[N]S1,C1CS[N]S1,C2H4NS2,106.195,0.4
C(COCBr)CCl,ClCCCOCBr,C4H8BrClO,187.464,1.9
C(N)OCI,NCOCI,C2H6INO,186.98,0
C[S+](C)Cl,C[S+](C)Cl,C2H6ClS+,97.59,1.7
CCCNCCC,CCCNCCC,C6H15N,101.193,1.7
CNOCC[NH],CNOCC[NH],C3H9N2O,89.118,-1.1
C=C(I)I,C=C(I)I,C2H2I2,279.846,2.6
C(CS)NI,SCCNI,C2H6INS,203.048,0.4
CC(CCCl)CBr,CC(CBr)CCCl,C5H10BrCl,185.492,2.7
[2H]C([2H])(Cl)Cl,[2H]C([2H])(Cl)Cl,CH2Cl2,86.94520356,1.5
CC1CC[CH+]C1,CC1C[CH+]CC1,C6H11+,83.154,3.4
CCSC(N)[O-],CCSC(N)[O-],C3H8NOS-,106.17,1
C/C=C/SS,C/C=C/SS,C3H6S2,106.215,1.7
C1=C[C-](C=C1)I,I[c-]1cccc1,C5H4I-,190.991,2.4
CN([CH2-])COC,[CH2-]N(C)COC,C4H10NO-,88.13,0.2
CSCCOP,CSCCOP,C3H9OPS,124.145,0.6
[CH2+]CCCCCS[O-],[CH2+]CCCCCS[O-],C6H12OS,132.228,2.2
C(C(Br)Br)SS,SSCC(Br)Br,C2H4Br2S2,251.996,2.6
